I1	freq	reliability
0.100000	104.000000	0.020676
0.100000	105.000000	0.009444
0.100000	106.000000	0.010697
0.100000	107.000000	0.006603
0.100000	108.000000	0.008627
0.100000	109.000000	0.009256
0.100000	110.000000	0.007959
0.100000	111.000000	0.015708
0.100000	112.000000	0.010012
0.100000	113.000000	-1.000000
0.100000	114.000000	0.010015
0.100000	115.000000	0.010854
0.100000	116.000000	0.012702
0.100000	117.000000	0.009412
0.100000	118.000000	0.010102
0.100000	119.000000	0.011274
0.100000	120.000000	0.010315
0.200000	0.000000	-1.000000
0.200000	1.000000	0.015160
0.200000	2.000000	0.017283
0.200000	3.000000	0.014929
0.200000	4.000000	0.016434
0.200000	5.000000	0.009690
0.200000	6.000000	0.010118
0.200000	7.000000	0.011815
0.200000	8.000000	0.009646
0.200000	9.000000	0.016061
0.200000	10.000000	0.010752
0.200000	11.000000	0.011108
0.200000	12.000000	0.020000
0.200000	13.000000	0.018611
0.200000	14.000000	0.009222
0.200000	15.000000	0.013992
0.200000	16.000000	-1.000000
0.200000	17.000000	0.008548
0.200000	18.000000	0.008736
0.200000	19.000000	0.013026
0.200000	20.000000	-1.000000
0.200000	21.000000	0.009825
0.200000	22.000000	0.008853
0.200000	23.000000	0.007829
0.200000	24.000000	0.011499
0.200000	25.000000	-1.000000
0.200000	26.000000	0.011286
0.200000	27.000000	0.011025
0.200000	28.000000	0.008348
0.200000	29.000000	0.010591
0.200000	30.000000	0.012233
0.200000	31.000000	0.008160
0.200000	32.000000	0.011131
0.200000	33.000000	0.008070
0.200000	34.000000	0.011206
0.200000	35.000000	0.008724
0.200000	36.000000	0.009706
0.200000	37.000000	0.009899
0.200000	38.000000	0.011261
0.200000	39.000000	-1.000000
0.200000	40.000000	0.009301
0.200000	41.000000	0.011152
0.200000	42.000000	0.007165
0.200000	43.000000	0.010713
0.200000	44.000000	0.010580
0.200000	45.000000	0.010926
0.200000	46.000000	0.013321
0.200000	47.000000	0.009692
0.200000	48.000000	0.010469
0.200000	49.000000	0.008974
0.200000	50.000000	0.029784
0.200000	51.000000	0.077411
0.200000	52.000000	0.131383
0.200000	53.000000	0.053778
0.200000	54.000000	0.082689
